molecule_chembl_id,target_chembl_id,standard_type,standard_value,standard_units,assay_chembl_id
CHEMBL941,CHEMBL2111414,IC50,40.0,nM,CHEMBL846551
CHEMBL941,CHEMBL385,IC50,110.0,nM,CHEMBL705013
CHEMBL941,CHEMBL385,IC50,400.0,nM,CHEMBL700211
CHEMBL941,CHEMBL1913,IC50,240.0,nM,CHEMBL763440
CHEMBL941,CHEMBL1936,IC50,260.0,nM,CHEMBL766073
CHEMBL941,CHEMBL1974,IC50,30000.0,nM,CHEMBL766072
CHEMBL941,CHEMBL1844,IC50,960.0,nM,CHEMBL766070
CHEMBL941,CHEMBL1862,IC50,38.0,nM,CHEMBL846547
CHEMBL941,CHEMBL203,IC50,100000.0,nM,CHEMBL675386
CHEMBL941,CHEMBL267,IC50,100000.0,nM,CHEMBL822803
CHEMBL941,CHEMBL2095189,IC50,50.0,nM,CHEMBL765715
CHEMBL941,CHEMBL2094138,IC50,500000.0,nM,CHEMBL767982
CHEMBL941,CHEMBL299,IC50,100000.0,nM,CHEMBL767025
CHEMBL941,CHEMBL2996,IC50,100000.0,nM,CHEMBL766318
CHEMBL941,CHEMBL1936,IC50,100.0,nM,CHEMBL880421
CHEMBL941,CHEMBL1936,IC50,10000.0,nM,CHEMBL873572
CHEMBL941,CHEMBL1936,IC50,400.0,nM,CHEMBL883395
CHEMBL941,CHEMBL1936,IC50,5000.0,nM,CHEMBL883229
CHEMBL941,CHEMBL2095189,IC50,50.0,nM,CHEMBL857667
CHEMBL941,CHEMBL299,IC50,100000.0,nM,CHEMBL882920
CHEMBL941,CHEMBL1862,IC50,38.0,nM,CHEMBL882911
CHEMBL941,CHEMBL267,IC50,100000.0,nM,CHEMBL872195
CHEMBL941,CHEMBL1936,IC50,100.0,nM,CHEMBL872194
CHEMBL941,CHEMBL385,IC50,182.0,nM,CHEMBL862168
CHEMBL941,CHEMBL612794,IC50,14000.0,nM,CHEMBL862170
CHEMBL941,CHEMBL2007,IC50,96.0,nM,CHEMBL860933
CHEMBL941,CHEMBL1936,IC50,219.0,nM,CHEMBL860934
CHEMBL941,CHEMBL2111387,IC50,30000.0,nM,CHEMBL911505
CHEMBL941,CHEMBL2111387,IC50,30000.0,nM,CHEMBL911510
CHEMBL941,CHEMBL2111387,IC50,30000.0,nM,CHEMBL913213
CHEMBL941,CHEMBL2111387,IC50,100000.0,nM,CHEMBL913212
CHEMBL941,CHEMBL614524,IC50,7100.0,nM,CHEMBL913214
CHEMBL941,CHEMBL614524,IC50,9100.0,nM,CHEMBL913215
CHEMBL941,CHEMBL1862,IC50,40.0,nM,CHEMBL888888
CHEMBL941,CHEMBL385,IC50,180.0,nM,CHEMBL888889
CHEMBL941,CHEMBL1862,IC50,470.0,nM,CHEMBL892514
CHEMBL941,CHEMBL3905,IC50,220.0,nM,CHEMBL892515
CHEMBL941,CHEMBL4302,IC50,12589.25,nM,CHEMBL925481
CHEMBL941,CHEMBL4302,IC50,7244.36,nM,CHEMBL925479
CHEMBL941,CHEMBL612545,IC50,112.0,nM,CHEMBL990557
CHEMBL941,CHEMBL5319,IC50,31000.0,nM,CHEMBL990559
CHEMBL941,CHEMBL5393,IC50,4897.79,nM,CHEMBL974473
CHEMBL941,CHEMBL4302,IC50,7244.36,nM,CHEMBL974470
CHEMBL941,CHEMBL385,IC50,49.0,nM,CHEMBL1022427
CHEMBL941,CHEMBL1862,IC50,1100.0,nM,CHEMBL1022422
CHEMBL941,CHEMBL399,IC50,18650.0,nM,CHEMBL1022421
CHEMBL941,CHEMBL325,IC50,100000.0,nM,CHEMBL1022418
CHEMBL941,CHEMBL1865,IC50,100000.0,nM,CHEMBL1022419
CHEMBL941,CHEMBL1913,IC50,240.0,nM,CHEMBL1022424
CHEMBL941,CHEMBL279,IC50,25800.0,nM,CHEMBL1022425
CHEMBL941,CHEMBL612545,IC50,87500.0,nM,CHEMBL1022426
CHEMBL941,CHEMBL1862,IC50,100000.0,nM,CHEMBL1022423
CHEMBL941,CHEMBL392,IC50,15500.0,nM,CHEMBL1009095
CHEMBL941,CHEMBL614489,IC50,0.2,nM,CHEMBL1018859
CHEMBL941,CHEMBL382,IC50,36000.0,nM,CHEMBL1016199
CHEMBL941,CHEMBL396,IC50,24000.0,nM,CHEMBL1009094
CHEMBL941,CHEMBL614805,IC50,32000.0,nM,CHEMBL1009096
CHEMBL941,CHEMBL387,IC50,30000.0,nM,CHEMBL1009097
CHEMBL941,CHEMBL614335,IC50,17000.0,nM,CHEMBL1009098
CHEMBL941,CHEMBL400,IC50,37000.0,nM,CHEMBL1009099
CHEMBL941,CHEMBL613834,IC50,39000.0,nM,CHEMBL1009100
CHEMBL941,CHEMBL614925,IC50,53000.0,nM,CHEMBL1009101
CHEMBL941,CHEMBL614004,IC50,48000.0,nM,CHEMBL1018031
CHEMBL941,CHEMBL3879801,IC50,12000.0,nM,CHEMBL1018032
CHEMBL941,CHEMBL612263,IC50,25000.0,nM,CHEMBL1018033
CHEMBL941,CHEMBL394,IC50,10000.0,nM,CHEMBL1018034
CHEMBL941,CHEMBL390,IC50,24000.0,nM,CHEMBL1018035
CHEMBL941,CHEMBL612588,IC50,44000.0,nM,CHEMBL1018036
CHEMBL941,CHEMBL1075408,IC50,22000.0,nM,CHEMBL1018037
CHEMBL941,CHEMBL614069,IC50,31000.0,nM,CHEMBL1018038
CHEMBL941,CHEMBL3879801,IC50,19000.0,nM,CHEMBL1018039
CHEMBL941,CHEMBL614894,IC50,26000.0,nM,CHEMBL1018040
CHEMBL941,CHEMBL3879801,IC50,38000.0,nM,CHEMBL1018041
CHEMBL941,CHEMBL3879801,IC50,37000.0,nM,CHEMBL1018858
CHEMBL941,CHEMBL614540,IC50,37000.0,nM,CHEMBL1018861
CHEMBL941,CHEMBL396,IC50,25118.86,nM,CHEMBL1009094
CHEMBL941,CHEMBL392,IC50,19952.62,nM,CHEMBL1009095
CHEMBL941,CHEMBL614805,IC50,31622.78,nM,CHEMBL1009096
CHEMBL941,CHEMBL387,IC50,31622.78,nM,CHEMBL1009097
CHEMBL941,CHEMBL614335,IC50,15848.93,nM,CHEMBL1009098
CHEMBL941,CHEMBL400,IC50,39810.72,nM,CHEMBL1009099
CHEMBL941,CHEMBL613834,IC50,39810.72,nM,CHEMBL1009100
CHEMBL941,CHEMBL614925,IC50,50118.72,nM,CHEMBL1009101
CHEMBL941,CHEMBL614004,IC50,50118.72,nM,CHEMBL1018031
CHEMBL941,CHEMBL3879801,IC50,12589.25,nM,CHEMBL1018032
CHEMBL941,CHEMBL612263,IC50,25118.86,nM,CHEMBL1018033
CHEMBL941,CHEMBL394,IC50,10000.0,nM,CHEMBL1018034
CHEMBL941,CHEMBL390,IC50,25118.86,nM,CHEMBL1018035
CHEMBL941,CHEMBL612588,IC50,39810.72,nM,CHEMBL1018036
